Wall time,Step,Value
1652840343.3548195,1,9.176121711730957
1652840574.669695,2,6.063488006591797
1652840860.6566951,3,5.233325481414795
1652841129.084258,4,4.671975135803223
1652841402.3912838,5,4.320431232452393
1652841656.5731485,6,4.028975486755371
1652841892.4879627,7,3.777617931365967
1652842111.8502393,8,3.627734661102295
1652842335.0747797,9,3.465967893600464
1652842565.3986433,10,3.392033338546753
1652842793.6096213,11,3.171949625015259
1652843037.3284752,12,2.9397847652435303
1652843265.9526846,13,2.810122013092041
1652843491.012171,14,2.6340861320495605
1652843709.7949383,15,2.4422359466552734
