Wall time,Step,Value
1652844508.3316603,1,8.651576042175293
1652844627.8154485,2,6.335110664367676
1652844759.122193,3,5.813930511474609
1652844893.3856702,4,5.448031425476074
1652845023.1656833,5,5.275764465332031
1652845157.34389,6,5.089312553405762
1652845285.1954384,7,4.955615997314453
1652845418.2248273,8,4.854497909545898
1652845547.1989648,9,4.713894367218018
1652845669.597476,10,4.579217433929443
1652845810.487772,11,4.4435319900512695
1652845938.491062,12,4.349920749664307
1652846068.4609244,13,4.273289203643799
1652846164.8411872,14,4.188811779022217
1652846288.8588495,15,4.0894775390625
