Wall time,Step,Value
1652826802.1260273,1,6.092597961425781
1652826823.4874592,2,5.236283779144287
1652826847.695735,3,4.858361721038818
1652826865.5331202,4,4.620294570922852
1652826887.470437,5,4.4439005851745605
1652826903.4750881,6,4.302789211273193
1652826917.9769328,7,4.24339485168457
1652826941.3775938,8,4.075090408325195
1652826962.9183047,9,3.981544017791748
1652826976.870354,10,3.878143787384033
1652826992.7671366,11,3.77402663230896
1652827010.6803858,12,3.681162118911743
1652827027.3699121,13,3.597299814224243
1652827045.080905,14,3.526216745376587
1652827061.1401577,15,3.482654571533203
