Wall time,Step,Value
1652887698.473123,1,7.739224433898926
1652887817.1243384,2,5.9735822677612305
1652887916.4018216,3,5.649316787719727
1652887999.1622798,4,5.528672695159912
1652888244.409331,5,5.4989399909973145
1652888361.2077188,6,4.982972621917725
1652888441.574911,7,4.583436012268066
1652888520.1421835,8,4.303376197814941
1652888603.3406563,9,4.121592044830322
1652888682.9913032,10,3.965087652206421
1652888878.3612278,11,3.8308358192443848
1652888955.7314765,12,3.7297561168670654
1652889032.341878,13,3.668221950531006
1652889111.247614,14,3.564840078353882
1652889199.5887964,15,3.4902734756469727
