Wall time,Step,Value
1652897595.5535161,1,0.00481507508084178
1652897704.697227,2,0.006296816747635603
1652897816.2684379,3,0.0077785588800907135
1652897926.7641757,4,0.009260300546884537
1652898034.9612427,5,0.009257957339286804
1652898193.8980365,6,0.007776216138154268
1652898355.9505143,7,0.006294474005699158
1652898475.8261144,8,0.0048127323389053345
1652898594.2534316,9,0.0033326747361570597
1652898710.3841705,10,0.0029160629492253065
1652898889.1528838,11,0.0024994511622935534
1652899149.4385986,12,0.0020828393753618
1652899258.413947,13,0.001666227588430047
1652899395.816126,14,0.0012496158014982939
1652899700.850117,15,0.0008330040145665407
