Wall time,Step,Value
1652844508.3317015,1,98.73936462402344
1652844627.8154926,2,116.7022476196289
1652844759.1222873,3,127.76984405517578
1652844893.3857553,4,131.56076049804688
1652845023.165742,5,126.0545425415039
1652845157.3439317,6,130.55429077148438
1652845285.1954842,7,124.01005554199219
1652845418.2248666,8,129.2026824951172
1652845547.1990051,9,125.8183822631836
1652845669.5975218,10,118.87850952148438
1652845810.4878125,11,136.6964111328125
1652845938.4911048,12,124.43571472167969
1652846068.4609659,13,126.12338256835938
1652846164.8412359,14,92.50331115722656
1652846288.8589153,15,121.10076904296875
