Wall time,Step,Value
1652840343.3548894,1,236.01661682128906
1652840574.6697402,2,222.8734130859375
1652840860.6569135,3,278.9802551269531
1652841129.0842993,4,258.23846435546875
1652841402.391325,5,266.7525634765625
1652841656.5732338,6,247.62161254882812
1652841892.488007,7,228.30624389648438
1652842111.8502812,8,212.54209899902344
1652842335.0748255,9,216.6482696533203
1652842565.398688,10,223.40957641601562
1652842793.6096637,11,220.88243103027344
1652843037.3285167,12,236.8798065185547
1652843265.95273,13,221.17591857910156
1652843491.0122104,14,218.2324981689453
1652843709.7949936,15,211.7634735107422
