Wall time,Step,Value
1652897595.5536017,1,163.61599731445312
1652897704.6973858,2,106.12184143066406
1652897816.268551,3,108.60444641113281
1652897926.764274,4,107.65544891357422
1652898034.9614332,5,105.26335906982422
1652898193.8981535,6,155.05252075195312
1652898355.950604,7,155.99606323242188
1652898475.8262906,8,117.0802230834961
1652898594.253576,9,113.87504577636719
1652898710.384256,10,113.03199768066406
1652898889.1529806,11,175.5786590576172
1652899149.4387994,12,253.0390167236328
1652899258.4140427,13,105.85203552246094
1652899395.8162913,14,134.3375701904297
1652899700.8502092,15,297.89593505859375
